"Story","Title","Result","Date","Stability","Duration (s)"
"Búsqueda de un libro","Busqueda exitosa","PENDING","2023-08-07T11:36:34.4203711-05:00[America/Bogota]","0.0","0.69"
"Búsqueda de un libro","Busqueda exitosa","SUCCESS","2023-08-07T18:43:10.171752-05:00[America/Bogota]","0.0","72.86"
